RUN	KeycloakLoginSimulator	keycloakloginsimulator	1591938312879	 	3.3.1
USER	Users	12	END	1591938316970	1591938321748
REQUEST	27		Logout basic user	1591938321466	1591938321763	OK	 
REQUEST	25		Logout basic user	1591938321033	1591938321766	OK	 
REQUEST	30		First unauthenticated request	1591938321280	1591938321773	OK	 
REQUEST	28		Second unauthenticated request	1591938321702	1591938321818	OK	 
REQUEST	27		Second unauthenticated request	1591938321763	1591938321871	OK	 
REQUEST	1		Login for realm admin	1591938319812	1591938321929	OK	 
REQUEST	29		Login for basic user	1591938321586	1591938321974	OK	 
USER	Users	33	START	1591938321974	1591938321974
REQUEST	24		Login for basic user	1591938320738	1591938322119	OK	 
REQUEST	32		First unauthenticated request	1591938321724	1591938322180	OK	 
USER	Users	34	START	1591938322222	1591938322222
REQUEST	25		Second unauthenticated request	1591938321767	1591938322241	OK	 
REQUEST	29		Logout basic user	1591938321976	1591938322273	OK	 
REQUEST	23		Logout realm admin	1591938321444	1591938322371	OK	 
USER	Users	23	END	1591938319733	1591938322372
REQUEST	29		Second unauthenticated request	1591938322274	1591938322373	OK	 
REQUEST	31		First unauthenticated request	1591938321482	1591938322460	OK	 
USER	Users	35	START	1591938322470	1591938322470
REQUEST	6		Logout realm admin	1591938321704	1591938322479	OK	 
USER	Users	6	END	1591938315490	1591938322481
REQUEST	33		First unauthenticated request	1591938321975	1591938322480	OK	 
REQUEST	17		Login for realm admin	1591938321059	1591938322545	OK	 
REQUEST	3		Logout realm admin	1591938321711	1591938322581	OK	 
USER	Users	3	END	1591938314891	1591938322582
REQUEST	24		Logout basic user	1591938322120	1591938322668	OK	 
REQUEST	22		Login for basic user	1591938320389	1591938322668	OK	 
REQUEST	28		Login for realm admin	1591938321819	1591938322669	OK	 
REQUEST	26		Login for basic user	1591938321059	1591938322716	OK	 
REQUEST	30		Login for basic user	1591938321774	1591938322728	OK	 
USER	Users	36	START	1591938322729	1591938322729
REQUEST	1		Logout realm admin	1591938321930	1591938322740	OK	 
USER	Users	1	END	1591938314497	1591938322741
REQUEST	17		Logout realm admin	1591938322546	1591938322881	OK	 
USER	Users	17	END	1591938318229	1591938322882
REQUEST	34		First unauthenticated request	1591938322223	1591938322883	OK	 
REQUEST	30		Logout basic user	1591938322729	1591938322905	OK	 
REQUEST	28		Logout realm admin	1591938322670	1591938322964	OK	 
USER	Users	28	END	1591938320882	1591938322965
USER	Users	37	START	1591938322979	1591938322979
REQUEST	35		First unauthenticated request	1591938322471	1591938323082	OK	 
REQUEST	30		Second unauthenticated request	1591938322906	1591938323092	OK	 
REQUEST	33		Login for basic user	1591938322483	1591938323134	OK	 
REQUEST	27		Login for realm admin	1591938321873	1591938323136	OK	 
REQUEST	32		Login for basic user	1591938322186	1591938323150	OK	 
USER	Users	38	START	1591938323229	1591938323229
REQUEST	33		Logout basic user	1591938323135	1591938323241	OK	 
REQUEST	36		First unauthenticated request	1591938322730	1591938323285	OK	 
REQUEST	32		Logout basic user	1591938323151	1591938323308	OK	 
REQUEST	31		Login for basic user	1591938322462	1591938323308	OK	 
REQUEST	21		Login for realm admin	1591938321732	1591938323309	OK	 
REQUEST	24		Second unauthenticated request	1591938322669	1591938323313	OK	 
REQUEST	33		Second unauthenticated request	1591938323241	1591938323349	OK	 
REQUEST	27		Logout realm admin	1591938323137	1591938323398	OK	 
USER	Users	27	END	1591938320683	1591938323399
REQUEST	25		Login for realm admin	1591938322242	1591938323400	OK	 
REQUEST	29		Login for realm admin	1591938322374	1591938323400	OK	 
REQUEST	32		Second unauthenticated request	1591938323309	1591938323434	OK	 
REQUEST	26		Logout basic user	1591938322717	1591938323453	OK	 
USER	Users	39	START	1591938323479	1591938323479
REQUEST	25		Logout realm admin	1591938323401	1591938323502	OK	 
USER	Users	25	END	1591938320230	1591938323503
REQUEST	30		Login for realm admin	1591938323094	1591938323566	OK	 
REQUEST	34		Login for basic user	1591938322884	1591938323600	OK	 
REQUEST	22		Logout basic user	1591938322669	1591938323629	OK	 
REQUEST	29		Logout realm admin	1591938323401	1591938323630	OK	 
USER	Users	29	END	1591938321081	1591938323630
REQUEST	31		Logout basic user	1591938323309	1591938323655	OK	 
